"hole_id","x","y","z","totallength","campaign","thegeom"
YNDD003,684836.9,98737.73,383.809,281.05,PAMA,POINT Z(684836.875 98737.7265625 383.8089904785156)
YNDD001,684760.4,98709.54,386.653,240.1,PAMA,POINT Z(684760.375 98709.5390625 386.65301513671875)
YNDD004,684519.8,98572.516,393.824,87.0,PAMA,POINT Z(684519.8125 98572.515625 393.8240051269531)
LNDD001,684188.5,98523.78,418.696,177.1,PAMA,POINT Z(684188.5 98523.78125 418.6960144042969)
BLDD006,685167.4,98840.414,465.921,75.3,PAMA,POINT Z(685167.375 98840.4140625 465.9209899902344)
BLDD002,685155.2,99005.555,481.285,60.3,PAMA,POINT Z(685155.1875 99005.5546875 481.2850036621094)
BLDD001,685123.3,99052.4,483.176,76.8,PAMA,POINT Z(685123.3125 99052.3984375 483.1759948730469)
BLDD004,685083.8,99121.4,487.479,37.8,PAMA,POINT Z(685083.8125 99121.3984375 487.47900390625)
YNDD010,684918.7,98849.95,412.515,276.1,PAMA,POINT Z(684918.6875 98849.953125 412.5150146484375)
YNDD005,684950.6,98871.61,414.588,53.3,PAMA,POINT Z(684950.625 98871.609375 414.5880126953125)
YNDD006,684526.44,98879.11,452.264,262.0,PAMA,POINT Z(684526.4375 98879.109375 452.2640075683594)
YNDD006R,684527.8,98879.195,452.865,450.0,PAMA,POINT Z(684527.8125 98879.1953125 452.864990234375)
YNDD009,684514.1,98783.58,452.573,340.6,PAMA,POINT Z(684514.125 98783.578125 452.572998046875)
YNDD012,684362.3,98688.58,473.363,325.1,PAMA,POINT Z(684362.3125 98688.578125 473.3630065917969)
LNDD004,684270.75,98598.125,446.062,243.0,PAMA,POINT Z(684270.75 98598.125 446.06201171875)
YNDD002,684990.3,98627.99,371.57,302.19,PAMA,POINT Z(684990.3125 98627.9921875 371.57000732421875)
LNDD007,684306.3,98406.75,457.71,225.1,PAMA,POINT Z(684306.3125 98406.75 457.7099914550781)
LNDD003,684235.2,98561.125,431.214,250.0,PAMA,POINT Z(684235.1875 98561.125 431.2139892578125)
BLDD009,684994.5,99099.41,440.856,205.8,PAMA,POINT Z(684994.5 99099.40625 440.8559875488281)
BLDD005,684844.56,99222.22,476.234,193.8,PAMA,POINT Z(684844.5625 99222.21875 476.2340087890625)
BLDD003GT,684890.2,99097.93,463.532,184.7,PAMA,POINT Z(684890.1875 99097.9296875 463.5320129394531)
BLDD007,684887.44,99036.6,459.4,288.0,PAMA,POINT Z(684887.4375 99036.6015625 459.3999938964844)
YNDD008,684827.3,98947.85,436.752,343.3,PAMA,POINT Z(684827.3125 98947.8515625 436.75201416015625)
BLDD010,685046.9,98956.586,422.623,319.9,PAMA,POINT Z(685046.875 98956.5859375 422.62298583984375)
YNDD007,684572.44,98995.04,448.327,325.45,PAMA,POINT Z(684572.4375 98995.0390625 448.3269958496094)
YNDD007R,684572.0,98991.945,448.411,475.2,PAMA,POINT Z(684572 98991.9453125 448.4110107421875)
YNDD015,684482.3,98921.65,482.023,487.2,PAMA,POINT Z(684482.3125 98921.6484375 482.02301025390625)
YNDD014GT,684352.8,98821.8,490.212,145.7,PAMA,POINT Z(684352.8125 98821.796875 490.2120056152344)
YNDD014GTR,684349.8,98823.3,490.455,388.55,PAMA,POINT Z(684349.8125 98823.296875 490.4549865722656)
YNDD011,684446.44,98741.1,462.068,326.2,PAMA,POINT Z(684446.4375 98741.1015625 462.0679931640625)
LNDD005,683719.6,98816.85,551.851,500.5,PAMA,POINT Z(683719.625 98816.8515625 551.8510131835938)
BLDD008,685356.2,98803.27,483.887,235.8,PAMA,POINT Z(685356.1875 98803.2734375 483.8869934082031)
YNDD016,684596.3,99013.32,448.473,453.45,PAMA,POINT Z(684596.3125 99013.3203125 448.4729919433594)
YNDD013,684826.94,98948.61,436.934,415.7,PAMA,POINT Z(684826.9375 98948.609375 436.9339904785156)
LNDD006,684133.06,98687.164,486.182,228.5,PAMA,POINT Z(684133.0625 98687.1640625 486.1820068359375)
LNDD008,683716.8,98454.15,499.483,256.6,PAMA,POINT Z(683716.8125 98454.1484375 499.4830017089844)
LNDD009,683861.4,98532.93,488.935,25.6,PAMA,POINT Z(683861.375 98532.9296875 488.93499755859375)
LNDD009R,683860.7,98532.91,489.125,109.0,PAMA,POINT Z(683860.6875 98532.90625 489.125)
LNDD010,683781.8,98509.93,488.067,155.0,PAMA,POINT Z(683781.8125 98509.9296875 488.0669860839844)
LNDD002GT,683749.6,98057.92,425.913,325.9,PAMA,POINT Z(683749.625 98057.921875 425.9129943847656)
